项目URL,项目名称,采购人信息,项目金额
https://www.szggzy.com/jygg/details.html?contentId=2469445,第九期适应新型教与学模式的先锋教师创新班培训项目（二次）的采购公告,名称：深圳市福田区梅林街道办事处地址：深圳市福田区梅华路,9
https://www.szggzy.com/jygg/details.html?contentId=2467001,深圳市不动产登记中心2025年业务能力提升培训的采购公告,名称：深圳市不动产登记中心地址：深圳市福田区彩田路,4000000000
https://www.szggzy.com/jygg/details.html?contentId=2464177,2025年龙华区退役军人服务中心（站） 工作人员培训项目的采购公告,名称：深圳市不动产登记中心地址：深圳市福田区彩田路,60000
https://www.szggzy.com/jygg/details.html?contentId=2463279,2025年宝安区低空经济技能人才培训项目（二次招标）的采购公告,名称：深圳市宝安区职业训练中心地址：深圳市宝安区新安街道新安二路,2000000000
https://www.szggzy.com/jygg/details.html?contentId=2461536,2025年民族传统手工艺提升培训服务项目   的采购公告,名称：深圳市深汕特别合作区统战和社会建设局地址：深圳市深汕特别合作区管委会仁和楼,68000.00
https://www.szggzy.com/jygg/details.html?contentId=2461479,第九期适应新型教与学模式的先锋教师创新班培训项目的采购公告,名称：深圳市教育信息技术中心地址：深圳市罗湖区清水河街道泥岗西路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=2460923,深圳市深汕特别合作区总工会2025年工会预警信息员培训项目的采购公告,名称：深圳市教育信息技术中心地址：深圳市罗湖区清水河街道泥岗西路,90000
https://www.szggzy.com/jygg/details.html?contentId=2458847,2025年广东省住院医师规范化培训普通师资培训班的采购公告,名称：深圳市人民医院地址：深圳市东门北路,250000.00
https://www.szggzy.com/jygg/details.html?contentId=2456751,深汕特别合作区2025年工伤预防培训的采购公告,名称：深圳市深汕特别合作区统战和社会建设局地址：深圳市深汕特别合作区管委会仁和楼,137580.00
https://www.szggzy.com/jygg/details.html?contentId=2456410,深圳市深汕特别合作区总工会2025年工会预警信息员培训项目的采购公告,名称：深圳市深汕特别合作区统战和社会建设局地址：深圳市深汕特别合作区管委会仁和楼,4
https://www.szggzy.com/jygg/details.html?contentId=2456407,2025年宝安区低空经济技能人才培训项目的采购公告,名称：深圳市宝安区职业训练中心地址：深圳市宝安区新安街道新安二路,2000000000
https://www.szggzy.com/jygg/details.html?contentId=2456371,燃气安全宣传教育培训的采购公告,名称：深圳市住房和建设局地址：深圳市福田区振华路,30000
https://www.szggzy.com/jygg/details.html?contentId=2455576,2025年光明区文化馆“乐享艺术生活”公益文化艺术培训采购公告,名称：深圳市住房和建设局地址：深圳市福田区振华路,1
https://www.szggzy.com/jygg/details.html?contentId=2455576,2025年光明区文化馆“乐享艺术生活”公益文化艺术培训采购公告,未识别,1
https://www.szggzy.com/jygg/details.html?contentId=2454841,国际标准化人才培训基地技术支撑服务项目采购公告,名称：深圳市市场监督管理局地址：深圳市福田区深南大道,300001.00
https://www.szggzy.com/jygg/details.html?contentId=2453611,2025年度政务信息化项目咨询及培训服务项目采购公告,名称：深圳市市场监督管理局地址：深圳市福田区深南大道,474500.00
https://www.szggzy.com/jygg/details.html?contentId=2451133,综合高中课程培训项目招标公告,名称：深圳元平特殊教育学校地址：深圳市龙岗区布吉街道西环路,360000.00
https://www.szggzy.com/jygg/details.html?contentId=2447750,技能人才培训补贴服务项目招标公告,名称：深圳市职业技能培训指导中心地址：广东省深圳市福田区福强路,3
https://www.szggzy.com/jygg/details.html?contentId=2445815,2025年中国传统特色工艺课程培训服务项目招标公告,名称：深圳元平特殊教育学校地址：深圳市龙岗区布吉街道西环路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=2445528,龙华区2025年春季退役军人全员适应性培训,名称：深圳元平特殊教育学校地址：深圳市龙岗区布吉街道西环路,203250.000
https://www.szggzy.com/jygg/details.html?contentId=2444641,2025年福田区学校管理者岗位胜任力提升培训（第一期）项目招标公告,名称：深圳市福田区教师发展中心地址：深圳市福田彩田路,267000.0
